Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,15.283569,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,14.647938,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.918367,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
3,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,15.684484,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,14.636226,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
5,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.138745,16.227223,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.836735,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",6
6,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,15.273000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
7,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.068867,14.582981,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.897959,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
8,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,16.524161,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
9,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,16.050735,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
10,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,14.991948,0.928571,0.071429,0.875000,0.875000,1.000000,1.000000,0.933333,0.866025,0.979167,"[[6,0],
 [1,7]]","[6, 0, 1, 7]","(2, 2)",3
